MCC,MNC,Country,Network,ratePerMb
,, Nicaragua ,Claro & Telefonica,0.007
,, Niger ,Zain,0.0105
,, Nigeria ,Etisalat & Celtel & Globacom & MTN,0.0038
,, Norway ,NetCom & Telenor,0.0016
,, Pakistan ,JAZZ & Telenor,0.0089
,, Palestinian Territory ,Palestine Telecom,0.0124
,, Panama ,CWP & Telefonica,0.0089
,, Paraguay ,Claro & Neucleo & TIGO,0.008
,, Puerto Rico ,Claro,0.007
,, Reunion ,SRR,0.0019
,, Russian Federation ,MTS & VimpelCom,0.0054
,, Rwanda ,MTN & Tigo,0.0101
,, Sao Tome And Principe ,Unitel,0.9364
,, Senegal ,Sonatel & Sentel,0.0179
,, Serbia ,Telenor,0.007
,, Seychelles ,Telecom Seychelles,0.0105
,, Sierra Leone ,Africell & Airtel,0.4253
,, South Sudan ,MTN & 8ta,0.007
,, St Kitts And Nevis ,Cable and Wireless,0.0193
,, St Lucia ,Cable and Wireless,0.0193
,, St Vincent And The Grenadines ,Cable and Wireless,0.0193
,, Sudan ,MTN,0.007
,, Suriname ,Digcel & Telesur,0.0078
,, Swaziland ,MTN,0.0096
,, Switzerland ,Sunrise & Orange,0.0045
,, Tajikistan ,Indigo,0.1935
,, Tanzania ,Airtel & Mobitel,0.0586
,, Togo ,Telecom Togo,0.4449
,, Trinidad And Tobago ,Digiccel,0.0084
,, Tunisia ,Orange & Orascom & Tunisie Telecom,0.0081
,, Turkey ,Avea & Turkcel,0.007
,, Turks And Caicos Islands ,Cble and Wireless,0.0193
,, Uk Channel Islands - Guernsey ,Guernsey Telecoms,0.0019
,, Uk Channel Islands - Isle Of Man ,Manx Telecom,0.0019
,, Uk Channel Islands - Jersey ,AirTel & Telecoms,0.0019
,, Uganda ,Zain & MTN,0.0101
,, Ukraine ,Kyivstar & MTS,0.0058
,, Uruguay ,Claro & Telefonica,0.0076
,, Uzbekistan ,Unitel,0.0655
,, Venezuela ,Digitel & Telcel,0.0378
,, Virgin Islands (British) ,CCT & LIME,0.0199
,, Zambia ,Airtel,0.0105
,, Zimbabwe ,Econet & Telecel,0.2995
