mcc,mnc,country,network,ratePerMb
610,*,Mali,Orange,0.168
609,*,Mauritania,Mauritel,0.7344
259,*,Moldova,Moldcell & Orange,0.007
212,*,Monaco,Monaco Telecom,0.0095
297,*,Montenegro,M-Tel & Telenor & T-Mobile,0.0081
604,*,Morocco,MORIAM & Wana & Orange,0.0041
643,*,Mozambique,mCell & Movitel,0.216
649,*,Namibia,CellOne,0.21
362,*,Netherlands Antilles,Digicell & UTS Setel,0.0091
710,*,Nicaragua,Claro & Telefonica,0.007
614,*,Niger,Zain,0.0105
621,*,Nigeria,Etisalat & Celtel & Globacom & MTN,0.0038
242,*,Norway,NetCom & Telenor,0.0016
410,*,Pakistan,JAZZ & Telenor,0.0089
425,*,Palestinian Territory,Palestine Telecom,0.0124
714,*,Panama,CWP & Telefonica,0.0089
744,*,Paraguay,Claro & Neucleo & TIGO,0.008
330,*,Puerto Rico,Claro,0.007
647,*,Reunion,SRR,0.0019
250,*,Russian Federation,MTS & VimpelCom,0.0054
635,*,Rwanda,MTN & Tigo,0.0101
626,*,Sao Tome And Principe,Unitel,0.9364
608,*,Senegal,Sonatel & Sentel,0.0179
220,*,Serbia,Telenor,0.007
633,*,Seychelles,Telecom Seychelles,0.0105
619,*,Sierra Leone,Africell & Airtel,0.4253
659,*,South Sudan,MTN & 8ta,0.007
356,*,St Kitts And Nevis,Cable and Wireless,0.0193
358,*,St Lucia,Cable and Wireless,0.0193
360,*,St Vincent And The Grenadines,Cable and Wireless,0.0193
634,*,Sudan,MTN,0.007
746,*,Suriname,Digcel & Telesur,0.0078
653,*,Swaziland,MTN,0.0096
228,*,Switzerland,Sunrise & Orange,0.0045
436,*,Tajikistan,Indigo,0.1935
640,*,Tanzania,Airtel & Mobitel,0.0586
615,*,Togo,Telecom Togo,0.4449
374,*,Trinidad And Tobago,Digiccel,0.0084
605,*,Tunisia,Orange & Orascom & Tunisie Telecom,0.0081
286,*,Turkey,Avea & Turkcel,0.007
376,*,Turks And Caicos Islands,Cble and Wireless,0.0193
234,*,Uk Channel Islands - Guernsey,Guernsey Telecoms,0.0019
234,*,Uk Channel Islands - Isle Of Man,Manx Telecom,0.0019
234,*,Uk Channel Islands - Jersey,AirTel & Telecoms,0.0019
641,*,Uganda,Zain & MTN,0.0101
255,*,Ukraine,Kyivstar & MTS,0.0058
748,*,Uruguay,Claro & Telefonica,0.0076
434,*,Uzbekistan,Unitel,0.0655
734,*,Venezuela,Digitel & Telcel,0.0378
348,*,Virgin Islands (British),CCT & LIME,0.0199
645,*,Zambia,Airtel,0.0105
648,*,Zimbabwe,Econet & Telecel,0.2995
